PA,2,33,w1,w2
Index,d,SE,1,6
0,0,0,0,0
1,1,1,1,0
2,2,4,2,0
3,3,9,3,0
4,4,5,-2,1
5,5,2,-1,1
6,6,1,0,1
7,7,2,1,1
8,8,5,2,1
9,9,10,3,1
10,10,8,-2,2
11,11,5,-1,2
12,12,4,0,2
13,13,5,1,2
14,14,8,2,2
15,15,9,0,-3
16,16,10,1,-3
17,17,10,-1,3
18,18,9,0,3
19,19,8,-2,-2
20,20,5,-1,-2
21,21,4,0,-2
22,22,5,1,-2
23,23,8,2,-2
24,24,10,-3,-1
25,25,5,-2,-1
26,26,2,-1,-1
27,27,1,0,-1
28,28,2,1,-1
29,29,5,2,-1
30,30,9,-3,0
31,31,4,-2,0
32,32,1,-1,0
	,TSE,176
	,MSE,2.6666666666666665
	,PSNR,43.87111628595629
