,duration,src_bytes,dst_bytes,wrong_fragment,urgent,attack_state
0,0,146,0,0,0,0
1,0,0,0,0,0,1
2,0,232,8153,0,0,0
3,0,199,420,0,0,0
4,0,0,0,0,0,1
5,0,0,0,0,0,1
6,0,0,0,0,0,1
7,0,0,0,0,0,1
8,0,0,0,0,0,1
9,0,0,0,0,0,1
10,0,0,0,0,0,1
11,0,287,2251,0,0,0
12,0,334,0,0,0,1
13,0,0,0,0,0,1
14,0,0,0,0,0,1
15,0,300,13788,0,0,0
16,0,18,0,0,0,1
17,0,233,616,0,0,0
18,0,343,1178,0,0,0
19,0,0,0,0,0,1
20,0,0,0,0,0,1
21,0,253,11905,0,0,0
22,5607,147,105,0,0,0
23,0,0,0,0,0,1
24,507,437,14421,0,0,0
25,0,0,0,0,0,1
26,0,227,6588,0,0,0
27,0,215,10499,0,0,0
28,0,241,1400,0,0,0
29,0,8,0,0,0,1
30,0,0,0,0,0,1
31,0,303,555,0,0,0
32,0,0,0,0,0,1
33,0,45,45,0,0,0
34,1,105,147,0,0,0
35,0,43,43,0,0,0
36,0,0,0,0,0,1
37,0,324,2302,0,0,0
38,0,0,0,0,0,1
39,0,0,0,0,0,1
40,0,0,0,0,0,1
41,2,1591,372,0,0,0
42,9052,146,105,0,0,0
43,0,290,3006,0,0,0
44,0,0,0,0,0,1
45,0,28,0,3,0,1
46,0,255,861,0,0,0
47,0,334,0,0,0,1
48,0,0,0,0,0,1
49,0,302,498,0,0,0
50,0,0,0,0,0,1
51,0,28,0,3,0,1
52,0,220,1398,0,0,0
53,0,43,69,0,0,0
54,0,44,133,0,0,0
55,0,8,0,0,0,1
56,0,0,0,0,0,1
57,0,0,0,0,0,1
58,0,43,43,0,0,0
59,0,641,0,0,0,0
60,0,0,0,0,0,1
61,0,0,0,0,0,1
62,0,310,2794,0,0,0
63,0,0,0,0,0,1
64,0,696,333,0,0,0
65,0,0,0,0,0,1
66,0,0,0,0,0,1
67,0,0,0,0,0,1
68,0,0,0,0,0,1
69,0,221,2878,0,0,0
70,0,0,0,0,0,1
71,0,181,0,0,0,0
72,0,42,42,0,0,0
73,0,0,0,0,0,1
74,0,12,0,0,0,0
75,0,0,0,0,0,1
76,0,210,2790,0,0,0
77,0,321,5683,0,0,0
78,0,0,0,0,0,1
79,0,329,3982,0,0,0
80,0,0,0,0,0,1
81,0,0,0,0,0,1
82,0,8,0,0,0,1
83,0,320,379,0,0,0
84,0,0,0,0,0,1
85,0,225,3762,0,0,0
86,0,0,0,0,0,1
87,0,0,0,0,0,1
88,315,146,105,0,0,0
89,0,247,1416,0,0,0
90,0,353,1483,0,0,0
91,0,44,44,0,0,0
92,0,0,0,0,0,1
93,0,0,0,0,0,1
94,2,3065,331,0,0,0
95,0,102,102,0,0,0
