,duration,src_bytes,dst_bytes,wrong_fragment,urgent,dst_host_count,dst_host_srv_count,count,srv_count,attack_state
1,0,0,0,0,0,255,26,123,6,1
4,0,0,0,0,0,255,19,121,19,1
5,0,0,0,0,0,255,9,166,9,1
6,0,0,0,0,0,255,15,117,16,1
7,0,0,0,0,0,255,23,270,23,1
8,0,0,0,0,0,255,13,133,8,1
9,0,0,0,0,0,255,12,205,12,1
10,0,0,0,0,0,255,13,199,3,1
13,0,0,0,0,0,255,1,233,1,1
14,0,0,0,0,0,255,2,96,16,1
19,0,0,0,0,0,255,23,223,23,1
20,0,0,0,0,0,238,17,280,17,1
23,0,0,0,0,0,255,2,248,2,1
25,0,0,0,0,0,255,13,279,7,1
30,0,0,0,0,0,255,59,57,16,1
36,0,0,0,0,0,255,17,205,17,1
38,0,0,0,0,0,255,13,228,13,1
39,0,0,0,0,0,255,63,50,11,1
40,0,0,0,0,0,255,9,262,12,1
44,0,0,0,0,0,255,11,108,11,1
45,0,28,0,3,0,255,80,80,80,1
48,0,0,0,0,0,255,5,258,17,1
50,0,0,0,0,0,255,4,61,4,1
51,0,28,0,3,0,255,2,2,2,1
56,0,0,0,0,0,255,11,135,9,1
57,0,0,0,0,0,255,59,24,12,1
60,0,0,0,0,0,255,4,206,4,1
63,0,0,0,0,0,255,10,63,10,1
66,0,0,0,0,0,255,67,52,19,1
67,0,0,0,0,0,255,6,125,7,1
68,0,0,0,0,0,255,21,168,21,1
70,0,0,0,0,0,255,31,145,16,1
73,0,0,0,0,0,255,6,138,6,1
75,0,0,0,0,0,255,9,276,9,1
78,0,0,0,0,0,255,8,248,8,1
80,0,0,0,0,0,255,7,135,7,1
81,0,0,0,0,0,255,2,220,19,1
84,0,0,0,0,0,72,7,212,7,1
86,0,0,0,0,0,255,1,250,13,1
87,0,0,0,0,0,255,15,132,15,1
92,0,0,0,0,0,255,10,146,18,1
93,0,0,0,0,0,255,3,300,6,1
98,0,0,0,0,0,255,12,129,16,1
103,0,28,0,3,0,255,182,82,82,1
115,0,0,0,0,0,255,17,110,17,1
119,0,0,0,0,0,255,20,246,20,1
120,0,0,0,0,0,255,19,272,19,1
121,0,0,0,0,0,255,8,259,8,1
123,0,0,0,0,0,255,8,294,6,1
129,0,0,0,0,0,255,20,190,20,1
130,0,0,0,0,0,255,1,135,5,1
133,0,0,0,0,0,255,7,123,7,1
134,0,0,0,0,0,255,7,245,20,1
137,0,1032,0,0,0,255,255,263,263,1
138,0,0,0,0,0,255,7,109,13,1
140,0,0,0,0,0,255,8,145,8,1
141,0,0,0,0,0,255,2,250,2,1
148,0,0,0,0,0,255,64,13,4,1
149,0,0,0,0,0,255,1,87,1,1
151,0,0,0,0,0,255,14,292,13,1
152,0,0,0,0,0,255,1,295,18,1
153,0,0,0,0,0,255,15,143,15,1
156,0,0,0,0,0,255,18,102,19,1
158,0,0,0,0,0,255,3,251,3,1
163,0,0,0,0,0,255,4,260,4,1
169,0,0,0,0,0,255,12,44,12,1
171,0,1032,0,0,0,255,212,511,511,1
172,0,0,0,0,0,255,15,272,15,1
173,0,0,0,0,0,255,19,122,19,1
174,0,0,0,0,0,255,3,287,3,1
178,0,0,0,0,0,255,11,286,9,1
183,0,28,0,3,0,255,34,35,34,1
184,0,0,0,0,0,255,42,28,2,1
185,0,0,0,0,0,255,18,108,18,1
186,0,0,0,0,0,255,15,101,5,1
191,0,0,0,0,0,255,9,223,10,1
192,0,0,0,0,0,255,17,223,17,1
200,0,0,0,0,0,255,14,143,14,1
205,0,0,0,0,0,255,18,201,18,1
208,0,0,0,0,0,255,19,124,19,1
210,0,1480,0,1,0,2,38,2,4,1
211,0,0,0,0,0,255,17,277,17,1
213,0,0,0,0,0,255,22,274,22,1
214,0,0,0,0,0,255,16,141,12,1
220,0,0,0,0,0,255,3,103,3,1
222,0,0,0,0,0,255,20,246,20,1
226,0,0,0,0,0,255,24,125,24,1
232,0,28,0,3,0,255,71,4,4,1
234,0,0,0,0,0,255,3,250,3,1
235,0,0,0,0,0,255,7,238,7,1
236,0,0,0,0,0,255,2,102,2,1
241,0,0,0,0,0,255,3,281,2,1
242,0,0,0,0,0,255,52,30,2,1
243,0,0,0,0,0,255,8,276,8,1
245,0,0,0,0,0,255,9,163,9,1
247,0,0,0,0,0,255,19,301,20,1
254,0,1032,0,0,0,255,46,46,46,1
259,0,0,0,0,0,255,22,211,22,1
262,0,0,0,0,0,255,11,280,11,1
268,0,0,0,0,0,255,4,201,1,1
270,0,0,0,0,0,255,14,276,14,1
275,0,0,0,0,0,255,10,258,10,1
276,0,0,0,0,0,255,10,256,12,1
280,0,0,0,0,0,94,26,14,6,1
283,0,0,0,0,0,255,25,138,25,1
285,0,0,0,0,0,255,7,300,7,1
286,0,0,0,0,0,255,9,199,9,1
290,0,0,0,0,0,255,30,144,15,1
291,0,0,0,0,0,255,18,104,4,1
298,0,0,0,0,0,255,5,74,16,1
300,0,0,0,0,0,255,2,225,2,1
301,0,0,0,0,0,255,52,66,16,1
309,0,0,0,0,0,255,13,139,13,1
311,0,0,0,0,0,255,9,144,16,1
312,0,0,0,0,0,255,19,241,19,1
314,0,1032,0,0,0,255,255,213,213,1
318,0,0,0,0,0,255,17,254,17,1
320,0,0,0,0,0,255,7,295,7,1
321,0,0,0,0,0,255,14,171,3,1
322,0,0,0,0,0,255,5,179,2,1
324,0,0,0,0,0,255,3,101,7,1
333,0,0,0,0,0,255,7,260,9,1
337,0,0,0,0,0,255,8,125,13,1
338,0,0,0,0,0,255,6,139,10,1
340,0,0,0,0,0,255,2,251,7,1
343,0,0,0,0,0,255,12,211,17,1
345,0,0,0,0,0,255,5,208,2,1
347,0,0,0,0,0,255,19,268,19,1
351,0,0,0,0,0,255,3,286,3,1
355,0,0,0,0,0,255,13,272,30,1
357,0,0,0,0,0,255,3,241,3,1
361,0,0,0,0,0,255,18,125,19,1
365,0,54540,8314,0,0,251,251,1,1,1
367,0,0,0,0,0,124,62,42,10,1
368,0,0,0,0,0,255,10,274,10,1
372,0,0,0,0,0,255,12,196,12,1
374,0,0,0,0,0,255,6,111,6,1
378,0,0,0,0,0,255,3,168,3,1
380,0,0,0,0,0,255,8,108,8,1
382,0,0,0,0,0,255,12,36,12,1
383,0,0,0,0,0,255,4,143,19,1
385,0,0,0,0,0,255,8,132,8,1
391,0,0,0,0,0,255,1,222,1,1
392,0,0,0,0,0,120,8,260,8,1
393,0,0,0,0,0,255,1,237,15,1
394,0,0,0,0,0,255,16,132,15,1
396,0,0,0,0,0,255,11,57,11,1
